,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
519,HONDA Ridgeline,3.5,6,Auto-6,2WD,Gasoline,pickup,3.0,19.0,26.0,22.0,4,No
520,HONDA Ridgeline,3.5,6,Auto-6,4WD,Gasoline,pickup,3.0,18.0,25.0,21.0,4,No
521,HYUNDAI Accent,1.6,4,Man-6,2WD,Gasoline,small car,3.0,28.0,37.0,31.0,7,Yes
522,HYUNDAI Accent,1.6,4,SemiAuto-6,2WD,Gasoline,small car,3.0,28.0,38.0,32.0,7,Yes
523,HYUNDAI Elantra,1.4,4,AutoMan-7,2WD,Gasoline,midsize car,3.0,32.0,40.0,35.0,8,Yes
524,HYUNDAI Elantra,1.6,4,AutoMan-7,2WD,Gasoline,midsize car,3.0,26.0,33.0,29.0,6,No
525,HYUNDAI Elantra,1.6,4,Man-6,2WD,Gasoline,midsize car,3.0,22.0,30.0,25.0,5,No
526,HYUNDAI Elantra,2.0,4,Man-6,2WD,Gasoline,midsize car,5.0,26.0,36.0,29.0,6,No
527,HYUNDAI Elantra,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,28.0,37.0,32.0,7,Yes
528,HYUNDAI Elantra,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5.0,28.0,37.0,32.0,7,Yes
529,HYUNDAI Elantra GT,1.6,4,AutoMan-7,2WD,Gasoline,large car,3.0,26.0,32.0,28.0,6,No
530,HYUNDAI Elantra GT,1.6,4,Man-6,2WD,Gasoline,large car,3.0,22.0,29.0,25.0,5,No
531,HYUNDAI Elantra GT,2.0,4,Man-6,2WD,Gasoline,large car,3.0,23.0,31.0,26.0,5,No
532,HYUNDAI Elantra GT,2.0,4,SemiAuto-6,2WD,Gasoline,large car,3.0,24.0,32.0,27.0,6,No
533,HYUNDAI Elantra SE,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,29.0,38.0,33.0,8,Yes
534,HYUNDAI Elantra SE,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5.0,29.0,38.0,33.0,8,Yes
535,HYUNDAI Ioniq,1.6,4,AutoMan-6,2WD,Gasoline,large car,7.0,55.0,54.0,55.0,10,Elite
536,HYUNDAI Ioniq Blue,1.6,4,AutoMan-6,2WD,Gasoline,large car,7.0,57.0,59.0,58.0,10,Elite
537,HYUNDAI Kona,1.6,4,AutoMan-7,2WD,Gasoline,small SUV,5.0,28.0,32.0,30.0,7,Yes
538,HYUNDAI Kona,1.6,4,AutoMan-7,4WD,Gasoline,small SUV,5.0,26.0,29.0,27.0,6,No
539,HYUNDAI Kona,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,5.0,27.0,33.0,30.0,7,Yes
540,HYUNDAI Kona,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,5.0,25.0,30.0,27.0,6,No
541,HYUNDAI Santa Fe,3.3,6,SemiAuto-6,2WD,Gasoline,small SUV,3.0,18.0,25.0,21.0,4,No
542,HYUNDAI Santa Fe,3.3,6,SemiAuto-6,4WD,Gasoline,small SUV,3.0,18.0,24.0,20.0,4,No
543,HYUNDAI Santa Fe Sport,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,3.0,20.0,28.0,23.0,5,No
544,HYUNDAI Santa Fe Sport,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,19.0,26.0,22.0,4,No
545,HYUNDAI Santa Fe Sport,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,5.0,21.0,27.0,24.0,5,No
546,HYUNDAI Santa Fe Sport,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,5.0,20.0,26.0,22.0,4,No
547,HYUNDAI Santa Fe Sport Ultimate,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,3.0,20.0,27.0,23.0,5,No
548,HYUNDAI Santa Fe Sport Ultimate,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,19.0,24.0,21.0,4,No
549,HYUNDAI Santa Fe Ultimate,3.3,6,SemiAuto-6,2WD,Gasoline,small SUV,3.0,17.0,23.0,20.0,4,No
550,HYUNDAI Santa Fe Ultimate,3.3,6,SemiAuto-6,4WD,Gasoline,small SUV,3.0,17.0,22.0,19.0,3,No
551,HYUNDAI Sonata,1.6,4,AutoMan-7,2WD,Gasoline,large car,5.0,28.0,37.0,31.0,7,Yes
552,HYUNDAI Sonata,2.0,4,SemiAuto-8,2WD,Gasoline,large car,5.0,23.0,32.0,26.0,5,No
553,HYUNDAI Sonata,2.4,4,SemiAuto-6,2WD,Gasoline,large car,7.0,25.0,35.0,28.0,6,No
554,HYUNDAI Sonata,2.4,4,SemiAuto-6,2WD,Gasoline,large car,5.0,25.0,35.0,28.0,6,No
555,HYUNDAI Sonata Hybrid,2.0,4,AutoMan-6,2WD,Gasoline,midsize car,7.0,39.0,44.0,41.0,9,Yes
556,HYUNDAI Sonata Hybrid SE,2.0,4,AutoMan-6,2WD,Gasoline,midsize car,7.0,40.0,46.0,42.0,9,Yes
557,HYUNDAI Sonata SE,2.4,4,SemiAuto-6,2WD,Gasoline,large car,7.0,25.0,36.0,29.0,6,No
558,HYUNDAI Sonata SE,2.4,4,SemiAuto-6,2WD,Gasoline,large car,5.0,25.0,36.0,29.0,6,No
559,HYUNDAI Tuscon,1.6,4,AutoMan-7,2WD,Gasoline,small SUV,3.0,25.0,30.0,27.0,6,No
560,HYUNDAI Tuscon,1.6,4,AutoMan-7,4WD,Gasoline,small SUV,3.0,24.0,28.0,25.0,5,No
561,HYUNDAI Tuscon,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,3.0,23.0,30.0,26.0,5,No
562,HYUNDAI Tuscon,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,21.0,26.0,23.0,5,No
563,HYUNDAI Tuscon,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,5.0,21.0,28.0,24.0,5,No
564,HYUNDAI Tuscon,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,5.0,21.0,25.0,22.0,4,No
565,INFINITI Q50,2.0,4,SemiAuto-7,2WD,Gasoline,midsize car,3.0,23.0,30.0,25.0,5,No
566,INFINITI Q50,2.0,4,SemiAuto-7,4WD,Gasoline,midsize car,3.0,22.0,28.0,24.0,5,No
567,INFINITI Q50,3.0,6,SemiAuto-7,2WD,Gasoline,midsize car,3.0,20.0,29.0,23.0,5,No
568,INFINITI Q50,3.0,6,SemiAuto-7,4WD,Gasoline,midsize car,3.0,19.0,27.0,22.0,4,No
569,INFINITI Q50 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,small car,3.0,27.0,32.0,29.0,6,No
570,INFINITI Q50 Hybrid,3.5,6,SemiAuto-7,4WD,Gasoline,small car,3.0,26.0,30.0,28.0,6,No
571,INFINITI Q50 Red Sport,3.0,6,SemiAuto-7,2WD,Gasoline,midsize car,3.0,20.0,26.0,22.0,4,No
572,INFINITI Q50 Red Sport,3.0,6,SemiAuto-7,4WD,Gasoline,midsize car,3.0,19.0,26.0,22.0,4,No
573,INFINITI Q60,2.0,4,SemiAuto-7,2WD,Gasoline,small car,3.0,22.0,30.0,25.0,5,No
574,INFINITI Q60,2.0,4,SemiAuto-7,4WD,Gasoline,small car,3.0,21.0,28.0,24.0,5,No
575,INFINITI Q60,3.0,6,SemiAuto-7,2WD,Gasoline,small car,3.0,19.0,28.0,22.0,4,No
576,INFINITI Q60,3.0,6,SemiAuto-7,4WD,Gasoline,small car,3.0,19.0,27.0,22.0,4,No
577,INFINITI Q60 Red Sport,3.0,6,SemiAuto-7,2WD,Gasoline,small car,3.0,20.0,27.0,22.0,4,No
578,INFINITI Q60 Red Sport,3.0,6,SemiAuto-7,4WD,Gasoline,small car,3.0,19.0,26.0,21.0,4,No
579,INFINITI Q70,3.7,6,SemiAuto-7,2WD,Gasoline,midsize car,3.0,18.0,25.0,21.0,4,No
580,INFINITI Q70,3.7,6,SemiAuto-7,4WD,Gasoline,midsize car,3.0,18.0,24.0,20.0,4,No
581,INFINITI Q70,5.6,8,SemiAuto-7,2WD,Gasoline,midsize car,3.0,16.0,24.0,19.0,3,No
582,INFINITI Q70,5.6,8,SemiAuto-7,4WD,Gasoline,midsize car,3.0,16.0,23.0,18.0,3,No
583,INFINITI Q70 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,midsize car,3.0,28.0,33.0,30.0,7,Yes
584,INFINITI QX30,2.0,4,AutoMan-7,2WD,Gasoline,small car,3.0,24.0,33.0,27.0,6,No
585,INFINITI QX30,2.0,4,AutoMan-7,4WD,Gasoline,small car,3.0,21.0,30.0,25.0,5,No
586,INFINITI QX60,3.5,6,SCV-7,2WD,Gasoline,small SUV,5.0,20.0,27.0,22.0,4,No
587,INFINITI QX60,3.5,6,SCV-7,4WD,Gasoline,small SUV,5.0,19.0,26.0,22.0,4,No
588,INFINITI QX80,5.6,8,SemiAuto-7,2WD,Gasoline,standard SUV,3.0,14.0,20.0,16.0,2,No
589,INFINITI QX80,5.6,8,SemiAuto-7,4WD,Gasoline,standard SUV,3.0,13.0,19.0,15.0,2,No
590,JAGUAR E-Pace,2.0,4,SemiAuto-9,4WD,Gasoline,small SUV,7.0,21.0,27.0,23.0,5,No
591,JAGUAR E-Pace,2.0,4,SemiAuto-9,4WD,Gasoline,small SUV,7.0,21.0,28.0,24.0,5,No
592,JAGUAR F-Pace,2.0,4,SemiAuto-8,4WD,Diesel,small SUV,1.0,26.0,33.0,29.0,5,No
593,JAGUAR F-Pace,2.0,4,SemiAuto-8,4WD,Gasoline,small SUV,7.0,22.0,27.0,24.0,5,No
594,JAGUAR F-Pace,3.0,6,SemiAuto-8,4WD,Gasoline,small SUV,7.0,18.0,23.0,20.0,4,No
595,JAGUAR F-Type Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7.0,23.0,30.0,26.0,5,No
596,JAGUAR F-Type Convertible,3.0,6,Man-6,2WD,Gasoline,small car,7.0,16.0,24.0,19.0,3,No
597,JAGUAR F-Type Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,small car,7.0,20.0,28.0,23.0,5,No
598,JAGUAR F-Type Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7.0,23.0,30.0,26.0,5,No
599,JAGUAR F-Type Coupe,3.0,6,Man-6,2WD,Gasoline,small car,7.0,16.0,24.0,19.0,3,No
600,JAGUAR F-Type Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,7.0,20.0,28.0,23.0,5,No
601,JAGUAR F-Type R Convertible,5.0,8,SemiAuto-8,4WD,Gasoline,small car,3.0,15.0,23.0,18.0,3,No
602,JAGUAR F-Type R Coupe,5.0,8,SemiAuto-8,4WD,Gasoline,small car,3.0,15.0,23.0,18.0,3,No
603,JAGUAR F-Type S Convertible,3.0,6,Man-6,2WD,Gasoline,small car,7.0,15.0,24.0,18.0,3,No
604,JAGUAR F-Type S Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,small car,7.0,19.0,27.0,22.0,4,No
605,JAGUAR F-Type S Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,small car,7.0,18.0,26.0,21.0,4,No
606,JAGUAR F-Type S Coupe,3.0,6,Man-6,2WD,Gasoline,small car,7.0,15.0,24.0,18.0,3,No
607,JAGUAR F-Type S Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,7.0,19.0,27.0,22.0,4,No
608,JAGUAR F-Type S Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,small car,7.0,18.0,26.0,21.0,4,No
609,JAGUAR XE,2.0,4,SemiAuto-8,2WD,Diesel,small car,1.0,32.0,42.0,36.0,7,No
610,JAGUAR XE,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7.0,24.0,32.0,27.0,6,No
611,JAGUAR XE,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7.0,25.0,34.0,28.0,6,No
612,JAGUAR XE,2.0,4,SemiAuto-8,4WD,Diesel,small car,1.0,30.0,40.0,34.0,7,No
613,JAGUAR XE,2.0,4,SemiAuto-8,4WD,Gasoline,small car,7.0,22.0,30.0,25.0,5,No
614,JAGUAR XE,2.0,4,SemiAuto-8,4WD,Gasoline,small car,7.0,24.0,34.0,28.0,6,No
615,JAGUAR XE,3.0,6,SemiAuto-8,2WD,Gasoline,small car,7.0,21.0,30.0,24.0,5,No
616,JAGUAR XE,3.0,6,SemiAuto-8,4WD,Gasoline,small car,7.0,20.0,29.0,23.0,5,No
617,JAGUAR XF,2.0,4,SemiAuto-8,2WD,Diesel,midsize car,1.0,31.0,42.0,35.0,7,No
618,JAGUAR XF,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,7.0,23.0,31.0,26.0,5,No
619,JAGUAR XF,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,7.0,25.0,34.0,28.0,6,No
620,JAGUAR XF,2.0,4,SemiAuto-8,4WD,Diesel,midsize car,1.0,30.0,40.0,34.0,7,No
621,JAGUAR XF,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,7.0,22.0,31.0,25.0,5,No
622,JAGUAR XF,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,7.0,23.0,33.0,27.0,6,No
623,JAGUAR XF,3.0,6,SemiAuto-8,2WD,Gasoline,midsize car,7.0,20.0,29.0,23.0,5,No
624,JAGUAR XF,3.0,6,SemiAuto-8,4WD,Gasoline,midsize car,7.0,20.0,28.0,23.0,5,No
625,JAGUAR XF Sportbrake,3.0,6,SemiAuto-8,4WD,Gasoline,station wagon,7.0,18.0,25.0,21.0,4,No
626,JAGUAR XJ,3.0,6,SemiAuto-8,2WD,Gasoline,large car,7.0,18.0,27.0,21.0,4,No
627,JAGUAR XJ,3.0,6,SemiAuto-8,4WD,Gasoline,large car,7.0,17.0,26.0,20.0,4,No
628,JAGUAR XJ,5.0,8,SemiAuto-8,2WD,Gasoline,large car,3.0,15.0,23.0,18.0,3,No
629,JAGUAR XJL,3.0,6,SemiAuto-8,2WD,Gasoline,large car,7.0,18.0,27.0,21.0,4,No
630,JAGUAR XJL,3.0,6,SemiAuto-8,4WD,Gasoline,large car,7.0,17.0,25.0,20.0,4,No
631,JAGUAR XJL,5.0,8,SemiAuto-8,2WD,Gasoline,large car,3.0,15.0,23.0,18.0,3,No
632,JEEP Cherokee,2.4,4,Auto-9,2WD,Gasoline,small SUV,7.0,21.0,30.0,25.0,5,No
633,JEEP Cherokee,2.4,4,Auto-9,4WD,Gasoline,small SUV,3.0,21.0,28.0,23.0,5,No
634,JEEP Cherokee,3.2,6,Auto-9,2WD,Gasoline,small SUV,3.0,21.0,29.0,24.0,5,No
635,JEEP Cherokee,3.2,6,Auto-9,4WD,Gasoline,small SUV,3.0,20.0,27.0,23.0,5,No
636,JEEP Cherokee 4x4 Active Drive II,2.4,4,Auto-9,4WD,Gasoline,small SUV,7.0,21.0,27.0,23.0,5,No
637,JEEP Cherokee 4x4 Active Drive II,2.4,4,Auto-9,4WD,Gasoline,small SUV,1.0,21.0,27.0,23.0,5,No
638,JEEP Cherokee 4x4 Active Drive II,3.2,6,Auto-9,4WD,Gasoline,small SUV,3.0,18.0,26.0,21.0,4,No
639,JEEP Cherokee Trailhawk,2.4,4,Auto-9,4WD,Gasoline,small SUV,7.0,19.0,25.0,22.0,4,No
640,JEEP Cherokee Trailhawk,2.4,4,Auto-9,4WD,Gasoline,small SUV,1.0,19.0,25.0,22.0,4,No
641,JEEP Cherokee Trailhawk,3.2,6,Auto-9,4WD,Gasoline,small SUV,3.0,18.0,24.0,21.0,4,No
642,JEEP Compass,2.4,4,Auto-6,2WD,Gasoline,small SUV,7.0,22.0,31.0,25.0,5,No
643,JEEP Compass,2.4,4,Auto-9,4WD,Gasoline,small SUV,7.0,22.0,30.0,25.0,5,No
644,JEEP Compass,2.4,4,Man-6,2WD,Gasoline,small SUV,3.0,23.0,32.0,26.0,5,No
645,JEEP Compass,2.4,4,Man-6,4WD,Gasoline,small SUV,3.0,22.0,31.0,25.0,5,No
646,JEEP Grand Cherokee,3.0,6,Auto-8,2WD,Diesel,standard SUV,1.0,22.0,30.0,25.0,4,No
647,JEEP Grand Cherokee,3.0,6,Auto-8,4WD,Diesel,standard SUV,1.0,21.0,28.0,24.0,4,No
648,JEEP Grand Cherokee,3.6,6,Auto-8,2WD,Gasoline,standard SUV,5.0,19.0,26.0,21.0,4,No
649,JEEP Grand Cherokee,3.6,6,Auto-8,4WD,Gasoline,standard SUV,5.0,18.0,25.0,21.0,4,No
650,JEEP Grand Cherokee,5.7,8,Auto-8,4WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3,No
651,JEEP Grand Cherokee SRT,6.4,8,Auto-8,4WD,Gasoline,standard SUV,1.0,13.0,19.0,15.0,2,No
652,JEEP Grand Cherokee TrackHawk,6.2,8,Auto-8,4WD,Gasoline,standard SUV,1.0,11.0,17.0,13.0,1,No
653,JEEP Renegade,1.4,4,Man-6,2WD,Gasoline,small SUV,3.0,24.0,31.0,26.0,5,No
654,JEEP Renegade,1.4,4,Man-6,4WD,Gasoline,small SUV,3.0,24.0,31.0,26.0,5,No
655,JEEP Renegade,2.4,4,Auto-9,2WD,Gasoline,small SUV,7.0,22.0,30.0,25.0,5,No
656,JEEP Renegade,2.4,4,Auto-9,4WD,Gasoline,small SUV,7.0,21.0,29.0,24.0,5,No
657,JEEP Wrangler,3.6,6,Auto-5,4WD,Gasoline,small SUV,3.0,17.0,21.0,18.0,3,No
658,JEEP Wrangler,3.6,6,Auto-8,4WD,Gasoline,small SUV,5.0,18.0,23.0,20.0,4,No
659,JEEP Wrangler,3.6,6,Man-6,4WD,Gasoline,small SUV,3.0,17.0,21.0,18.0,3,No
660,JEEP Wrangler,3.6,6,Man-6,4WD,Gasoline,small SUV,5.0,17.0,25.0,20.0,4,No
661,JEEP Wrangler Unlimited,3.6,6,Auto-5,4WD,Gasoline,small SUV,3.0,16.0,20.0,18.0,3,No
662,JEEP Wrangler Unlimited,3.6,6,Auto-8,4WD,Gasoline,small SUV,5.0,18.0,23.0,20.0,4,No
663,JEEP Wrangler Unlimited,3.6,6,Man-6,4WD,Gasoline,small SUV,3.0,16.0,21.0,18.0,3,No
664,JEEP Wrangler Unlimited,3.6,6,Man-6,4WD,Gasoline,small SUV,5.0,17.0,23.0,19.0,3,No
665,KIA Cadenza,3.3,6,SemiAuto-8,2WD,Gasoline,large car,3.0,20.0,28.0,23.0,5,No
666,KIA Forte,2.0,4,Man-6,2WD,Gasoline,midsize car,5.0,25.0,34.0,28.0,6,No
667,KIA Forte,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,29.0,37.0,32.0,7,Yes
668,KIA Forte,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5.0,29.0,37.0,32.0,7,Yes
669,KIA Forte,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,6,No
670,KIA Forte,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,3.0,25.0,33.0,28.0,6,No
671,KIA Forte5,1.6,4,AutoMan-7,2WD,Gasoline,large car,3.0,25.0,30.0,27.0,6,No
672,KIA Forte5,1.6,4,Man-6,2WD,Gasoline,large car,3.0,23.0,29.0,25.0,5,No
673,KIA Forte5,2.0,4,SemiAuto-6,2WD,Gasoline,large car,3.0,25.0,34.0,28.0,6,No
674,KIA K900,3.8,6,SemiAuto-8,2WD,Gasoline,large car,3.0,17.0,25.0,20.0,4,No
675,KIA K900,5.0,8,SemiAuto-8,2WD,Gasoline,large car,3.0,15.0,23.0,18.0,3,No
676,KIA Niro,1.6,4,AutoMan-6,2WD,Gasoline,station wagon,7.0,51.0,46.0,49.0,10,Elite
677,KIA Niro FE,1.6,4,AutoMan-6,2WD,Gasoline,station wagon,7.0,52.0,49.0,50.0,10,Elite
678,KIA Niro Touring,1.6,4,AutoMan-6,2WD,Gasoline,station wagon,7.0,46.0,40.0,43.0,9,Yes
679,KIA Optima,1.6,4,AutoMan-7,2WD,Gasoline,large car,3.0,28.0,37.0,31.0,7,Yes
680,KIA Optima,2.0,4,SemiAuto-6,2WD,Gasoline,large car,3.0,22.0,31.0,25.0,5,No
681,KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,large car,7.0,24.0,34.0,28.0,6,No
682,KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,large car,5.0,24.0,34.0,28.0,6,No
683,KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,large car,7.0,25.0,36.0,29.0,6,No
684,KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,large car,5.0,25.0,36.0,29.0,6,No
685,KIA Optima Hybrid,2.0,4,AutoMan-6,2WD,Gasoline,midsize car,3.0,39.0,46.0,42.0,9,Yes
686,KIA Optima S,2.4,4,SemiAuto-6,2WD,Gasoline,large car,7.0,23.0,32.0,26.0,5,No
687,KIA Optima S,2.4,4,SemiAuto-6,2WD,Gasoline,large car,5.0,23.0,32.0,26.0,5,No
688,KIA Rio,1.6,4,Man-6,2WD,Gasoline,small car,3.0,29.0,37.0,32.0,7,Yes
689,KIA Rio,1.6,4,SemiAuto-6,2WD,Gasoline,small car,3.0,28.0,37.0,32.0,7,Yes
690,KIA Sedona,3.3,6,SemiAuto-6,2WD,Gasoline,minivan,3.0,18.0,24.0,20.0,4,No
691,KIA Sedona SX,3.3,6,SemiAuto-6,2WD,Gasoline,minivan,3.0,18.0,25.0,21.0,4,No
692,KIA Sedona SXL,3.3,6,SemiAuto-6,2WD,Gasoline,minivan,3.0,17.0,22.0,19.0,3,No
693,KIA Sorento,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,3.0,20.0,27.0,23.0,5,No
694,KIA Sorento,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,19.0,25.0,22.0,4,No
695,KIA Sorento,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,5.0,21.0,28.0,24.0,5,No
696,KIA Sorento,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,5.0,21.0,25.0,22.0,4,No
697,KIA Sorento,3.3,6,SemiAuto-6,2WD,Gasoline,small SUV,3.0,18.0,25.0,20.0,4,No
698,KIA Sorento,3.3,6,SemiAuto-6,4WD,Gasoline,small SUV,3.0,17.0,23.0,19.0,3,No
699,KIA Sorento FE,3.3,6,SemiAuto-6,4WD,Gasoline,small SUV,3.0,18.0,25.0,21.0,4,No
700,KIA Soul,1.6,4,AutoMan-7,2WD,Gasoline,station wagon,3.0,26.0,31.0,28.0,6,No
701,KIA Soul,1.6,4,Man-6,2WD,Gasoline,station wagon,3.0,24.0,30.0,27.0,6,No
702,KIA Soul,1.6,4,SemiAuto-6,2WD,Gasoline,station wagon,3.0,25.0,30.0,27.0,6,No
703,KIA Soul,2.0,4,SemiAuto-6,2WD,Gasoline,station wagon,7.0,25.0,30.0,27.0,6,No
704,KIA Soul,2.0,4,SemiAuto-6,2WD,Gasoline,station wagon,5.0,25.0,30.0,27.0,6,No
705,KIA Sportage,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,3.0,21.0,26.0,23.0,5,No
706,KIA Sportage,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,20.0,23.0,21.0,4,No
707,KIA Sportage,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,7.0,22.0,29.0,25.0,5,No
708,KIA Sportage,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,5.0,22.0,29.0,25.0,5,No
709,KIA Sportage,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,7.0,21.0,25.0,23.0,5,No
710,KIA Sportage,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,5.0,21.0,25.0,23.0,5,No
711,KIA Sportage FE,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,7.0,23.0,30.0,26.0,5,No
712,KIA Sportage FE,2.4,4,SemiAuto-6,2WD,Gasoline,small SUV,5.0,23.0,30.0,26.0,5,No
713,KIA Sportage FE,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,7.0,21.0,25.0,22.0,4,No
714,KIA Sportage FE,2.4,4,SemiAuto-6,4WD,Gasoline,small SUV,5.0,21.0,25.0,22.0,4,No
715,KIA Stinger,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,3.0,22.0,29.0,25.0,5,No
716,KIA Stinger,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,3.0,21.0,29.0,24.0,5,No
717,KIA Stinger,3.3,6,SemiAuto-8,2WD,Gasoline,midsize car,3.0,17.0,25.0,20.0,4,No
718,KIA Stinger,3.3,6,SemiAuto-8,4WD,Gasoline,midsize car,3.0,17.0,25.0,20.0,4,No
719,LAMBORGHINI Aventador Coupe,6.5,12,AMS-7,4WD,Gasoline,small car,1.0,10.0,17.0,12.0,1,No
720,LAMBORGHINI Aventador Roadster,6.5,12,AMS-7,4WD,Gasoline,small car,1.0,10.0,16.0,12.0,1,No
721,LAMBORGHINI Aventador S Coupe,6.5,12,AMS-7,4WD,Gasoline,small car,1.0,10.0,17.0,12.0,1,No
722,LAMBORGHINI Aventador S Roadster,6.5,12,AMS-7,4WD,Gasoline,small car,1.0,10.0,16.0,12.0,1,No
723,LAMBORGHINI Huracan,5.2,10,AMS-7,2WD,Gasoline,small car,1.0,14.0,21.0,16.0,2,No
724,LAMBORGHINI Huracan,5.2,10,AMS-7,4WD,Gasoline,small car,1.0,14.0,19.0,16.0,2,No
725,LAMBORGHINI Huracan Spyder,5.2,10,AMS-7,2WD,Gasoline,small car,1.0,14.0,20.0,16.0,2,No
726,LAMBORGHINI Huracan Spyder,5.2,10,AMS-7,4WD,Gasoline,small car,1.0,13.0,19.0,15.0,2,No
727,LAND ROVER Discovery,3.0,6,SemiAuto-8,4WD,Diesel,standard SUV,1.0,21.0,26.0,23.0,4,No
728,LAND ROVER Discovery,3.0,6,SemiAuto-8,4WD,Gasoline,standard SUV,7.0,16.0,21.0,18.0,3,No
729,LAND ROVER Discovery Sport,2.0,4,SemiAuto-9,4WD,Gasoline,small SUV,7.0,20.0,25.0,22.0,4,No
730,LAND ROVER Discovery Sport,2.0,4,SemiAuto-9,4WD,Gasoline,small SUV,7.0,21.0,25.0,22.0,4,No
731,LAND ROVER Range Rover,3.0,6,SemiAuto-8,4WD,Diesel,standard SUV,1.0,22.0,28.0,24.0,4,No
732,LAND ROVER Range Rover,3.0,6,SemiAuto-8,4WD,Gasoline,standard SUV,7.0,17.0,23.0,19.0,3,No
733,LAND ROVER Range Rover,5.0,8,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,14.0,19.0,16.0,2,No
734,LAND ROVER Range Rover,5.0,8,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,16.0,21.0,18.0,3,No
735,LAND ROVER Range Rover Evoque,2.0,4,SemiAuto-9,4WD,Gasoline,small SUV,7.0,21.0,29.0,24.0,5,No
736,LAND ROVER Range Rover Evoque,2.0,4,SemiAuto-9,4WD,Gasoline,small SUV,7.0,22.0,29.0,25.0,5,No
737,LAND ROVER Range Rover Evoque Cabriolet,2.0,4,SemiAuto-9,4WD,Gasoline,small SUV,7.0,21.0,29.0,24.0,5,No
738,LAND ROVER Range Rover LWB,5.0,8,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,13.0,19.0,15.0,2,No
739,LAND ROVER Range Rover LWB,5.0,8,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,16.0,21.0,18.0,3,No
740,LAND ROVER Range Rover Sport,3.0,6,SemiAuto-8,4WD,Diesel,standard SUV,1.0,22.0,28.0,24.0,4,No
741,LAND ROVER Range Rover Sport,3.0,6,SemiAuto-8,4WD,Gasoline,standard SUV,7.0,17.0,23.0,19.0,3,No
