,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
344,FORD EcoSport,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,5.0,23.0,29.0,25.0,5,No
345,FORD Edge,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,5.0,20.0,29.0,24.0,5,No
346,FORD Edge,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,5.0,21.0,29.0,24.0,5,No
347,FORD Edge,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,5.0,20.0,27.0,23.0,5,No
348,FORD Edge,2.7,6,SemiAuto-6,4WD,Gasoline,small SUV,5.0,17.0,24.0,20.0,4,No
349,FORD Edge,3.5,6,SemiAuto-6,2WD,Gasoline,small SUV,3.0,17.0,26.0,20.0,4,No
350,FORD Edge,3.5,6,SemiAuto-6,4WD,Gasoline,small SUV,3.0,17.0,23.0,19.0,3,No
351,FORD Escape,1.5,4,SemiAuto-6,2WD,Gasoline,small SUV,3.0,23.0,30.0,26.0,5,No
352,FORD Escape,1.5,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,22.0,28.0,24.0,5,No
353,FORD Escape,2.0,4,SemiAuto-6,2WD,Gasoline,small SUV,5.0,21.0,28.0,24.0,5,No
354,FORD Escape,2.0,4,SemiAuto-6,4WD,Gasoline,small SUV,5.0,20.0,27.0,23.0,5,No
355,FORD Escape,2.5,4,SemiAuto-6,2WD,Gasoline,small SUV,3.0,21.0,29.0,24.0,5,No
356,FORD Expedition,3.5,6,SemiAuto-10,2WD,Gasoline,standard SUV,5.0,17.0,24.0,20.0,4,No
357,FORD Expedition,3.5,6,SemiAuto-10,4WD,Gasoline,standard SUV,5.0,17.0,22.0,19.0,3,No
358,FORD Expedition MAX,3.5,6,SemiAuto-10,2WD,Gasoline,standard SUV,5.0,17.0,23.0,19.0,3,No
359,FORD Expedition MAX,3.5,6,SemiAuto-10,4WD,Gasoline,standard SUV,5.0,16.0,21.0,18.0,3,No
360,FORD Explorer,2.3,4,SemiAuto-6,2WD,Gasoline,standard SUV,3.0,19.0,27.0,22.0,4,No
361,FORD Explorer,2.3,4,SemiAuto-6,4WD,Gasoline,standard SUV,3.0,18.0,25.0,21.0,4,No
362,FORD Explorer,3.5,6,SemiAuto-6,2WD,Gasoline,standard SUV,3.0,17.0,24.0,20.0,4,No
363,FORD Explorer,3.5,6,SemiAuto-6,4WD,Gasoline,standard SUV,3.0,16.0,22.0,18.0,3,No
364,FORD Explorer,3.5,6,SemiAuto-6,4WD,Gasoline,standard SUV,3.0,16.0,22.0,19.0,3,No
365,FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,19.0,25.0,21.0,4,No
366,FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,20.0,25.0,22.0,4,No
367,FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,20.0,26.0,22.0,4,No
368,FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,5.0,18.0,23.0,20.0,4,No
369,FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,5.0,19.0,24.0,21.0,4,No
370,FORD F150,3.0,6,SemiAuto-10,2WD,Diesel,pickup,1.0,22.0,28.0,24.0,4,No
371,FORD F150,3.0,6,SemiAuto-10,2WD,Diesel,pickup,1.0,22.0,30.0,25.0,4,No
372,FORD F150,3.0,6,SemiAuto-10,4WD,Diesel,pickup,1.0,20.0,25.0,22.0,3,No
373,FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,pickup,5.0,19.0,24.0,21.0,4,No
374,FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,pickup,5.0,19.0,25.0,22.0,4,No
